Name	Class	Joined	Job	TicketCost	Age	Gender	Survived	Department
"OXENHAM, Mr Percy Thomas"	2nd Class Passenger	Southampton	Mason	10.5	22	Male	True	
"PADRON MANENT, Mr Julian"	2nd Class Passenger	Cherbourg	Chauffeur	13.8625	26	Male	True	
"PAIN, Dr Alfred"	2nd Class Passenger	Southampton	Doctor	10.5	23	Male	False	
"PALL�S I CASTELL�, Sr. Emili"	2nd Class Passenger	Cherbourg		13.85833333	29	Male	True	
"PARKER, Mr Clifford Richard"	2nd Class Passenger	Southampton	Clerk	10.5	17	Male	False	
"PARKES, Mr Francis"	2nd Class Passenger	Belfast	Plumber	0	21	Male	False	H&W Guarantee Group
"PARRISH, Mrs Lutie Davis"	2nd Class Passenger	Southampton		26	59	Female	True	
"PENGELLY, Mr Frederick William"	2nd Class Passenger	Southampton	Miner	10.5	19	Male	False	
"PERNOT, Mr Ren�"	2nd Class Passenger	Cherbourg	Chauffeur	15.05	39	Male	False	Servant
"PERUSCHITZ, Fr Josef"	2nd Class Passenger	Southampton	Priest / Minister	13	41	Male	False	
"PHILLIPS, Mr Escott Robert"	2nd Class Passenger	Southampton		21	42	Male	False	
"PHILLIPS, Miss Alice Frances Louisa"	2nd Class Passenger	Southampton		21	21	Female	True	
"PHILLIPS, Miss Kate Florence"	2nd Class Passenger	Southampton		26	19	Female	True	
"PINSKY, Mrs Rosa"	2nd Class Passenger	Southampton		13	32	Female	True	
"PONESELL, Mr Martin"	2nd Class Passenger	Southampton		13	24	Male	False	
"PORTALUPPI, Mr Emilio Ilario Giuseppe"	2nd Class Passenger	Cherbourg		12.7375	30	Male	True	
"PULBAUM, Mr Franz"	2nd Class Passenger	Cherbourg		15.4	27	Male	False	
"QUICK, Mrs Jane"	2nd Class Passenger	Southampton		26	33	Female	True	
"QUICK, Miss Winifred Vera"	2nd Class Passenger	Southampton		26	8	Female	True	
"QUICK, Miss Phyllis May"	2nd Class Passenger	Southampton		26	2	Female	True	
"REEVES, Mr David"	2nd Class Passenger	Southampton	Carpenter / Joiner	10.5	36	Male	False	
"RENOUF, Mr Peter Henry"	2nd Class Passenger	Southampton	Carpenter / Joiner	21	33	Male	False	
"RENOUF, Mrs Lillian"	2nd Class Passenger	Southampton		21	30	Female	True	
"REYNALDS, Sra. Encarnaci�n"	2nd Class Passenger	Southampton		13	28	Female	True	
"RICHARD, Mr Emile Phillippe"	2nd Class Passenger	Cherbourg		15.55	23	Male	False	
"RICHARDS, Mrs Emily"	2nd Class Passenger	Southampton		18.75	24	Female	True	
"RICHARDS, Master William Rowe"	2nd Class Passenger	Southampton		18.75	3	Male	True	
"RICHARDS, Master Sibley George"	2nd Class Passenger	Southampton		18.75	0.75	Male	True	
"RIDSDALE, Miss Lucy"	2nd Class Passenger	Southampton		10.5	58	Female	True	
"ROGERS, Mr Reginald Harry"	2nd Class Passenger	Southampton		10.5	18	Male	False	
"RUGG, Miss Emily"	2nd Class Passenger	Southampton		10.5	21	Female	True	
"SCHMIDT, Mr Augustus"	2nd Class Passenger	Southampton		13	21	Male	False	
"SEDGWICK, Mr Charles Frederick Waddington"	2nd Class Passenger	Southampton		13	28	Male	False	
"SHARP, Mr Percival"	2nd Class Passenger	Southampton		26	27	Male	False	
"SHELLEY, Mrs Imanita Parrish"	2nd Class Passenger	Southampton		26	25	Female	True	
"SILV�N, Miss Lyyli Karoliina"	2nd Class Passenger	Southampton		13	17	Female	True	
"SINCOCK, Miss Maude"	2nd Class Passenger	Southampton		36.75	20	Female	True	
"SINKKONEN, Miss Anna"	2nd Class Passenger	Southampton		13	29	Female	True	
"SJ�STEDT, Mr Ernst Adolf"	2nd Class Passenger	Southampton		13.5	59	Male	False	
"SLAYTER, Miss Hilda Mary"	2nd Class Passenger	Queenstown		12.35	30	Female	True	
"SLEMEN, Mr Richard James"	2nd Class Passenger	Southampton	Journeyman carpenter	10.5	35	Male	False	
"SMITH, Miss Marion Elsie"	2nd Class Passenger	Southampton		13	39	Female	True	
"SOBEY, Mr Samuel James Hayden"	2nd Class Passenger	Southampton	Quarryman	13	25	Male	False	
"STANTON, Mr Samuel Ward"	2nd Class Passenger	Cherbourg		15.55	42	Male	False	
"STOKES, Mr Philip Joseph"	2nd Class Passenger	Southampton	Bricklayer	10.5	25	Male	False	
"SWANE, Mr George"	2nd Class Passenger	Southampton	Chauffeur	13	19	Male	False	Servant
"SWEET, Mr George Frederick"	2nd Class Passenger	Southampton	Farm Labourer	65	14	Male	False	
"TAYLOR, Mr Percy Cornelius"	2nd Class Passenger	Southampton	Musician	0	32	Male	False	Musician
"TOOMEY, Miss Ellen Mary"	2nd Class Passenger	Southampton	Servant	10.5	48	Female	True	
"TROUPIANSKY, Mr Moses Aaron"	2nd Class Passenger	Southampton	Shop Assistant	13	23	Male	False	
"TROUT, Mrs Jessie Laird"	2nd Class Passenger	Southampton		12.65	27	Female	True	
"TROUTT, Miss Edwina Celia"	2nd Class Passenger	Southampton		10.5	27	Female	True	
"TURPIN, Mr William John"	2nd Class Passenger	Southampton	Carpenter / Joiner	21	29	Male	False	
"TURPIN, Mrs Dorothy Ann"	2nd Class Passenger	Southampton	Housewife	21	26	Female	False	
"VEAL, Mr James"	2nd Class Passenger	Southampton		13	40	Male	False	
"WALLCROFT, Miss Ellen 'Nellie'"	2nd Class Passenger	Southampton	Cook	21	36	Female	True	
"WARE, Mr John James"	2nd Class Passenger	Southampton	Carpenter / Joiner	21	45	Male	False	
"WARE, Mrs Florence Louise"	2nd Class Passenger	Southampton		21	31	Female	True	
"WARE, Mr William Jeffery"	2nd Class Passenger	Southampton		10.5	23	Male	False	
"WATSON, Mr Ennis Hastings"	2nd Class Passenger	Belfast	Apprentice Electrician	0	19	Male	False	H&W Guarantee Group
"WATT, Mrs Elizabeth"	2nd Class Passenger	Southampton		15.75	40	Female	True	
"WATT, Miss Robertha Josephine"	2nd Class Passenger	Southampton		15.75	12	Female	True	
"WEBBER, Miss Susan"	2nd Class Passenger	Southampton		13	37	Female	True	
"WEISZ, Mr L�opold"	2nd Class Passenger	Southampton	Stonemason and Carver	26	37	Male	False	
"WEISZ, Mrs Mathilde Fran�oise"	2nd Class Passenger	Southampton		26	37	Female	True	
"WELLS, Mrs"	2nd Class Passenger	Southampton		23	29	Female	True	
"WELLS, Miss Joan"	2nd Class Passenger	Southampton		23	4	Female	True	
"WELLS, Master Ralph Lester"	2nd Class Passenger	Southampton		23	2	Male	True	
"WEST, Mr Edwy Arthur"	2nd Class Passenger	Southampton		27.75	36	Male	False	
"WEST, Mrs Ada Mary"	2nd Class Passenger	Southampton		27.75	33	Female	True	
"WEST, Miss Constance Mirium"	2nd Class Passenger	Southampton		27.75	4	Female	True	
"WEST, Miss Barbara Joyce"	2nd Class Passenger	Southampton		27.75	0.833333333	Female	True	
"WHEADON, Mr Edward Henry"	2nd Class Passenger	Southampton	Farmer	10.5	65	Male	False	
"WHEELER, Mr Edwin Charles"	2nd Class Passenger	Southampton	Servant	12.875	24	Male	False	Servant
"WHILEMS, Mr Charles"	2nd Class Passenger	Southampton	Factory Foreman	13	31	Male	True	
"WILKINSON, Mrs Elizabeth Anne"	2nd Class Passenger	Southampton		26	35	Female	True	
"WILLIAMS, Mr Charles Eugene"	2nd Class Passenger	Southampton	Sportsman	13	23	Male	True	
"WOODWARD, Mr John Wesley"	2nd Class Passenger	Southampton	Musician	0	32	Male	False	Musician
"WRIGHT, Miss Marion"	2nd Class Passenger	Southampton		13.5	26	Female	True	
"YVOIS, Miss Henriette"	2nd Class Passenger	Southampton		13	24	Female	False	
"ABBING, Mr Anthony"	3rd Class Passenger	Southampton	Blacksmith	7.55	42	Male	False	
"ABBOTT, Mrs Rhoda Mary 'Rosa'"	3rd Class Passenger	Southampton		20.25	39	Female	True	
"ABBOTT, Mr Rossmore Edward"	3rd Class Passenger	Southampton	Jeweller	20.25	16	Male	False	
"ABBOTT, Mr Eugene Joseph"	3rd Class Passenger	Southampton	Scholar	20.25	14	Male	False	
"ABELSETH, Miss Karen Marie"	3rd Class Passenger	Southampton		7.65	16	Female	True	
"ABELSETH, Mr Olaus J�rgensen"	3rd Class Passenger	Southampton	Farmer	7.65	25	Male	True	
"ABRAHAMSSON, Mr Abraham August Johannes"	3rd Class Passenger	Southampton		7.925	20	Male	True	
"ADAMS, Mr John"	3rd Class Passenger	Southampton		8.05	26	Male	False	
"AHLIN, Mrs Johanna Persdotter"	3rd Class Passenger	Southampton		9.475	40	Female	False	
"AKS, Mrs Leah"	3rd Class Passenger	Southampton		9.35	18	Female	True	
"AKS, Master Frank Philip"	3rd Class Passenger	Southampton		9.35	0.833333333	Male	True	
"ALBIMONA, Mr Nassef Cassem"	3rd Class Passenger	Cherbourg		18.7875	26	Male	True	
"ALEXANDER, Mr William Albert"	3rd Class Passenger	Southampton	General Labourer	7.8875	23	Male	False	
"ALHOM�KI, Mr Ilmari Rudolf"	3rd Class Passenger	Southampton	General Labourer	7.925	19	Male	False	
"ALI, Mr Ahmed"	3rd Class Passenger	Southampton	General Labourer	7.05	24	Male	False	
"ALI, Mr William"	3rd Class Passenger	Southampton	General Labourer	7.05	25	Male	False	
"ALLEN, Mr William Henry"	3rd Class Passenger	Southampton	Tool Maker	8.05	38	Male	False	
"ALLUM, Mr Owen George"	3rd Class Passenger	Southampton	Gardener	8.3	15	Male	False	
"ANDERSEN, Mr Albert Karvin"	3rd Class Passenger	Southampton	Engineer	22.525	33	Male	False	
"ANDERSEN-JENSEN, Miss Carla Christine Nielsine"	3rd Class Passenger	Southampton		7.854166667	19	Female	True	
"ANDERSSON, Miss Erna Alexandra"	3rd Class Passenger	Southampton		7.925	17	Female	True	
"ANDERSSON, Mr Johan Samuel"	3rd Class Passenger	Southampton	General Labourer	7.775	26	Male	False	
"ANDERSSON, Miss Ida Augusta Margareta"	3rd Class Passenger	Southampton		7.775	38	Female	False	
"ANDERSSON, Mr Anders Johan"	3rd Class Passenger	Southampton	General Labourer	31.275	39	Male	False	
"ANDERSSON, Mrs Alfrida Konstantia Brogren"	3rd Class Passenger	Southampton		31.275	39	Female	False	
"ANDERSSON, Miss Sigrid Elisabeth"	3rd Class Passenger	Southampton		31.275	11	Female	False	
"ANDERSSON, Miss Ingeborg Constanzia"	3rd Class Passenger	Southampton		31.275	9	Female	False	
"ANDERSSON, Miss Ebba Iris Alfrida"	3rd Class Passenger	Southampton		31.275	6	Female	False	
"ANDERSSON, Master Sigvard Harald Elias"	3rd Class Passenger	Southampton		31.275	4	Male	False	
"ANDERSSON, Miss Ellis Anna Maria"	3rd Class Passenger	Southampton		31.275	2	Female	False	
"ANDREASSON, Mr P�l Edvin"	3rd Class Passenger	Southampton	General Labourer	7.854166667	20	Male	False	
"ANGHELOFF, Mr Minko"	3rd Class Passenger	Southampton	General Labourer	7.895833333	26	Male	False	
"ARNOLD-FRANCHI, Mr Josef"	3rd Class Passenger	Southampton	General Labourer	17.8	25	Male	False	
"ARNOLD-FRANCHI, Mrs Josefine"	3rd Class Passenger	Southampton		17.8	18	Female	False	
"ARONSSON, Mr Ernst Axel Algot"	3rd Class Passenger	Southampton	General Labourer	7.775	24	Male	False	
"ASIM, Mr Adola"	3rd Class Passenger	Southampton	General Labourer	7.05	35	Male	False	
"ASPLUND, Master Edvin Rojj Felix"	3rd Class Passenger	Southampton		31.3875	3	Male	True	
"ASPLUND, Mr Johan Charles"	3rd Class Passenger	Southampton		7.795833333	23	Male	True	
"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson"	3rd Class Passenger	Southampton	General Labourer	31.3875	40	Male	False	
"ASPLUND, Mrs Selma Augusta Emilia"	3rd Class Passenger	Southampton		31.3875	38	Female	True	
"ASPLUND, Master Carl Edgar"	3rd Class Passenger	Southampton		31.3875	5	Male	False	
"ASPLUND, Master Filip Oscar"	3rd Class Passenger	Southampton		31.3875	13	Male	False	
"ASPLUND, Master Clarence Gustaf Hugo"	3rd Class Passenger	Southampton		31.3875	9	Male	False	
"ASPLUND, Miss Lillian Gertrud"	3rd Class Passenger	Southampton		31.3875	5	Female	True	
"ASSAF, Mrs Mariana"	3rd Class Passenger	Cherbourg		7.225	45	Female	True	
"ASSAM, Mr Ali"	3rd Class Passenger	Southampton	General Labourer	7.05	23	Male	False	
"ATTALA, Mr Sleiman"	3rd Class Passenger	Cherbourg	Journalist	7.225	27	Male	False	
"ATTALAH, Miss Malake"	3rd Class Passenger	Cherbourg		14.45833333	17	Female	False	
"AUGUSTSSON, Mr Albert"	3rd Class Passenger	Southampton	General Labourer	7.854166667	23	Male	False	
"AYOUB DAHER, Miss Banoura"	3rd Class Passenger	Cherbourg		7.229166667	15	Female	True	
"�DAHL, Mr Nils Martin"	3rd Class Passenger	Southampton	General Labourer	9.225	23	Male	False	
"�HMAN, Miss Velin"	3rd Class Passenger	Southampton		7.775	22	Female	True	
"�DAHL, Mr Mauritz"	3rd Class Passenger	Southampton	General Labourer	7.25	30	Male	False	
"BACCOS, Mr Raffull"	3rd Class Passenger	Cherbourg	Farm Labourer	7.225	20	Male	False	
"BACKSTR�M, Mr Karl Alfred"	3rd Class Passenger	Southampton	General Labourer	15.85	32	Male	False	
"BACKSTR�M, Mrs Maria Mathilda"	3rd Class Passenger	Southampton		15.85	33	Female	True	
"BACLINI, Mrs Latifa"	3rd Class Passenger	Cherbourg		19.25833333	24	Female	True	
"BACLINI, Miss Marie Catherine"	3rd Class Passenger	Cherbourg		19.25833333	5	Female	True	
"BACLINI, Miss Eugenie"	3rd Class Passenger	Cherbourg		19.25833333	3	Female	True	
"BACLINI, Miss Helene Barbara"	3rd Class Passenger	Cherbourg		19.25833333	0.75	Female	True	
"BADMAN, Miss Emily Louisa"	3rd Class Passenger	Southampton	Servant	8.05	18	Female	True	
"BADT, Mr Mohamed"	3rd Class Passenger	Cherbourg	Farmer	7.225	40	Male	False	
"BALKIC, Mr Cerin"	3rd Class Passenger	Southampton	General Labourer	7.895833333	26	Male	False	
"BANSKI, Mrs Mara"	3rd Class Passenger	Southampton		8.683333333	31	Female	True	
"BARBARA, Mrs Catherine David"	3rd Class Passenger	Cherbourg	Housekeeper	14.45416667	45	Female	False	
"BARBARA, Miss Saiide"	3rd Class Passenger	Cherbourg	Housekeeper	14.45416667	18	Female	False	
"BARRY, Miss Julia"	3rd Class Passenger	Queenstown	Housekeeper	7.879166667	26	Female	False	
"BARTON, Mr David John"	3rd Class Passenger	Southampton	General Labourer	8.05	22	Male	False	
"BATOSHEV, Mr Hristo Lalev"	3rd Class Passenger	Southampton	General Labourer	7.895833333	23	Male	False	
"BEAVAN, Mr William Thomas"	3rd Class Passenger	Southampton	General Labourer	8.05	20	Male	False	
"BENGTSSON, Mr Johan Viktor"	3rd Class Passenger	Southampton	General Labourer	7.775	26	Male	False	
"BERGLUND, Mr Karl Ivar Sven"	3rd Class Passenger	Southampton	General Labourer	9.35	22	Male	False	
"BING, Mr Lee"	3rd Class Passenger	Southampton	Seaman	56.49583333	32	Male	True	
"BIRKELAND, Mr Hans Martin Monsen"	3rd Class Passenger	Southampton	Seaman	7.775	21	Male	False	
"BJ�RKLUND, Mr Ernst Herbert"	3rd Class Passenger	Southampton	General Labourer	7.75	18	Male	False	
"BOSTANDYEFF, Mr Guentcho"	3rd Class Passenger	Southampton	General Labourer	7.895833333	26	Male	False	
"BOULOS, Mrs Sultana"	3rd Class Passenger	Cherbourg		15.24583333	40	Female	False	
"BOULOS, Miss Nourelain"	3rd Class Passenger	Cherbourg		15.24583333	7	Female	False	
"BOULOS, Master Akar"	3rd Class Passenger	Cherbourg		15.24583333	9	Male	False	
"BOURKE, Mr John"	3rd Class Passenger	Queenstown	Farmer	15.5	42	Male	False	
"BOURKE, Mrs Catherine"	3rd Class Passenger	Queenstown	Housewife	15.5	32	Female	False	
"BOURKE, Miss Mary"	3rd Class Passenger	Queenstown		7.75	40	Female	False	
"BOWEN, Mr David John 'Dai'"	3rd Class Passenger	Southampton	Pugilist	16.1	26	Male	False	
"BRADLEY, Miss Bridget Delia"	3rd Class Passenger	Queenstown		7.725	22	Female	True	
"BRAF, Miss Elin Ester Maria"	3rd Class Passenger	Southampton	Servant	7.854166667	20	Female	False	
"BRAUND, Mr Lewis Richard"	3rd Class Passenger	Southampton	Farm Labourer	7.55	29	Male	False	
"BRAUND, Mr Owen Harris"	3rd Class Passenger	Southampton	Ironmonger	7.25	22	Male	False	
"BROB�CK, Mr Karl Rudolf"	3rd Class Passenger	Southampton	Decorator	7.795833333	22	Male	False	
"BROCKLEBANK, Mr William Alfred"	3rd Class Passenger	Southampton	Groom	8.05	35	Male	False	
"BUCKLEY, Mr Daniel"	3rd Class Passenger	Queenstown	Farm Labourer	7.820833333	21	Male	True	
"BUCKLEY, Miss Katherine"	3rd Class Passenger	Queenstown		7.283333333	22	Female	False	
"BURKE, Mr Jeremiah"	3rd Class Passenger	Queenstown	Farm Labourer	6.75	19	Male	False	
"BURNS, Miss Mary Delia"	3rd Class Passenger	Queenstown		7.879166667	17	Female	False	
"BUTRUS-KA'W?, Mr Tann?s"	3rd Class Passenger	Cherbourg	Shoemaker	7.229166667	21	Male	False	
"CACIC, Mr Jego Grga"	3rd Class Passenger	Southampton	Farmer	8.6625	18	Male	False	
"CACIC, Mr Luka"	3rd Class Passenger	Southampton	Farmer	8.6625	38	Male	False	
"CACIC, Miss Marija"	3rd Class Passenger	Southampton	Farm Labourer	8.6625	30	Female	False	
"CACIC, Miss Manda"	3rd Class Passenger	Southampton	Farm Labourer	8.6625	21	Female	False	
"CALIC, Mr Petar"	3rd Class Passenger	Southampton	Farm Labourer	8.6625	17	Male	False	
"CALIC, Mr Jovo"	3rd Class Passenger	Southampton		8.6625	17	Male	False	
"CANAVAN, Miss Mary"	3rd Class Passenger	Queenstown		7.75	22	Female	False	
"CANAVAN, Mr Patrick"	3rd Class Passenger	Queenstown	General Labourer	7.75	21	Male	False	
"CANN, Mr Ernest"	3rd Class Passenger	Southampton	Miner	8.05	21	Male	False	
"CARAM, Mr Joseph"	3rd Class Passenger	Cherbourg	Merchant	14.45833333	28	Male	False	
"CARAM, Mrs Maria Elias"	3rd Class Passenger	Cherbourg	Housekeeper	14.45833333	18	Female	False	
"CARLSSON, Mr Carl Robert"	3rd Class Passenger	Southampton	General Labourer	7.854166667	24	Male	False	
"CARLSSON, Mr August Sigfrid"	3rd Class Passenger	Southampton	Farmer	7.795833333	28	Male	False	
"CARR, Miss Jane"	3rd Class Passenger	Queenstown		7.75	45	Female	False	
"CARVER, Mr Alfred John"	3rd Class Passenger	Southampton	Seaman	7.25	28	Male	False	
"CELOTTI, Mr Francesco"	3rd Class Passenger	Southampton	Stoker	8.05	24	Male	False	
"CHARTERS, Mr David"	3rd Class Passenger	Queenstown	General Labourer	7.733333333	20	Male	False	
"CHIP, Mr Chang"	3rd Class Passenger	Southampton	Seaman	56.49583333	32	Male	True	
"CHRISTMANN, Mr Emil"	3rd Class Passenger	Southampton	Clerk	8.05	29	Male	False	
"CHRONOPOULOS, Mr Apostolos M."	3rd Class Passenger	Cherbourg	General Labourer	14.45416667	26	Male	False	
"CHRONOPOULOS, Mr Dimitrios M."	3rd Class Passenger	Cherbourg	General Labourer	14.45416667	21	Male	False	
"COELHO, Mr Domingos Fernandeo"	3rd Class Passenger	Southampton	General Labourer	7.05	20	Male	False	
"COHEN, Mr Gurshon"	3rd Class Passenger	Southampton	Printer / Compositor	8.05	18	Male	True	
"COLBERT, Mr Patrick"	3rd Class Passenger	Queenstown	General Labourer	7.25	24	Male	False	
"COLEFF, Mr Satio"	3rd Class Passenger	Southampton	General Labourer	7.895833333	24	Male	False	
"COLTCHEFF, Mr Peju"	3rd Class Passenger	Southampton	General Labourer	7.895833333	36	Male	False	
"CONLIN, Mr Thomas Henry"	3rd Class Passenger	Queenstown	General Labourer	7.733333333	31	Male	False	
"CONNAUGHTON, Mr Michael"	3rd Class Passenger	Queenstown	Bus Driver	7.75	40	Male	False	
"CONNOLLY, Miss Catherine"	3rd Class Passenger	Queenstown		7.75	23	Female	True	
"CONNOLLY, Miss Kate"	3rd Class Passenger	Queenstown		7.629166667	41	Female	False	
"CONNORS, Mr Patrick"	3rd Class Passenger	Queenstown	Farm Labourer	7.75	66	Male	False	
"COOK, Mr Jacob"	3rd Class Passenger	Southampton	Wood Carver	8.05	43	Male	False	
"COR, Mr Bartol"	3rd Class Passenger	Southampton	General Labourer	7.895833333	35	Male	False	
"COR, Mr Ivan"	3rd Class Passenger	Southampton	General Labourer	7.895833333	27	Male	False	
"COR, Mr Liudevit"	3rd Class Passenger	Southampton	General Labourer	7.895833333	19	Male	False	
"CORN, Mr Harry"	3rd Class Passenger	Southampton	Upholsterer	8.05	30	Male	False	
"CORR, Miss Helen"	3rd Class Passenger	Queenstown		7.75	16	Female	True	
"COUTTS, Mrs Winnie"	3rd Class Passenger	Southampton		15.9	36	Female	True	
"COUTTS, Master William Loch"	3rd Class Passenger	Southampton		15.9	9	Male	True	
"COUTTS, Master Neville Leslie"	3rd Class Passenger	Southampton		15.9	3	Male	True	
"COXON, Mr Daniel"	3rd Class Passenger	Southampton	Dealer	7.25	59	Male	False	
"CREASE, Mr Ernest James"	3rd Class Passenger	Southampton	Tinsmith	8.158333333	19	Male	False	
"CRIBB, Mr John Hatfield"	3rd Class Passenger	Southampton	Butler	16.1	44	Male	False	
"CRIBB, Miss Laura Mae"	3rd Class Passenger	Southampton	Shop Assistant	16.1	16	Female	True	
"CULUMOVIC, Mr Jeso"	3rd Class Passenger	Southampton		8.6625	17	Male	False	
"DAHER, Mr Tannous"	3rd Class Passenger	Cherbourg		7.229166667	28	Male	False	
"DAHL, Mr Charles Edward"	3rd Class Passenger	Southampton	Carpenter / Joiner	8.05	45	Male	True	
"DAHLBERG, Miss Gerda Ulrika"	3rd Class Passenger	Southampton		10.51666667	22	Female	False	
"DAKIC, Mr Branko"	3rd Class Passenger	Southampton	General Labourer	10.17083333	19	Male	False	
"DALY, Miss Margaret Marcella"	3rd Class Passenger	Queenstown	Housekeeper	6.95	33	Female	True	
"DALY, Mr Eugene Patrick"	3rd Class Passenger	Queenstown	Farm Labourer	7.75	29	Male	True	
"DANBOM, Mr Ernst Gilbert"	3rd Class Passenger	Southampton	General Labourer	14.4	34	Male	False	
"DANBOM, Mrs Anna Sigrid Maria"	3rd Class Passenger	Southampton		14.4	28	Female	False	
"DANBOM, Master Gilbert Sigvard Emanuel"	3rd Class Passenger	Southampton		14.4	0.333333333	Male	False	
"DANOFF, Mr Yoto"	3rd Class Passenger	Southampton	General Labourer	7.895833333	27	Male	False	
"DAVIES, Mr Evan"	3rd Class Passenger	Southampton	Miner	8.05	22	Male	False	
"DAVIES, Mr Alfred James"	3rd Class Passenger	Southampton	Caster	24.15	24	Male	False	
"DAVIES, Mr John"	3rd Class Passenger	Southampton	Ironworker	24.15	21	Male	False	
"DAVIES, Mr Joseph"	3rd Class Passenger	Southampton	Ironworker	8.05	17	Male	False	
"DAVISON, Mr Thomas Henry"	3rd Class Passenger	Southampton	Blacksmith	16.1	32	Male	False	
"DAVISON, Mrs Mary Elizabeth"	3rd Class Passenger	Southampton		16.1	34	Female	True	
"DE MESSEMAEKER, Mr Guillaume Joseph"	3rd Class Passenger	Southampton		17.4	36	Male	True	
"DE MESSEMAEKER, Mrs Anna"	3rd Class Passenger	Southampton		17.4	36	Female	True	
"DE MULDER, Mr Theodoor"	3rd Class Passenger	Southampton		9.5	30	Male	True	
"DE PELSMAEKER, Mr Alfons"	3rd Class Passenger	Southampton	Farm Labourer	9.5	16	Male	False	
"DEAN, Mr Bertram Frank"	3rd Class Passenger	Southampton	Farmer	20.575	25	Male	False	
"DEAN, Mrs Eva Georgetta"	3rd Class Passenger	Southampton		20.575	32	Female	True	
"DEAN, Master Bertram Vere"	3rd Class Passenger	Southampton		20.575	1	Male	True	
"DEAN, Miss Elizabeth Gladys 'Millvina'"	3rd Class Passenger	Southampton		20.575	0.166666667	Female	True	
"DELALIC, Mr Redjo"	3rd Class Passenger	Southampton	General Labourer	7.895833333	25	Male	False	
"DENKOFF, Mr Mitto"	3rd Class Passenger	Southampton	General Labourer	7.895833333	30	Male	False	
"DENNIS, Mr Samuel"	3rd Class Passenger	Southampton	Farmer	7.25	22	Male	False	
"DENNIS, Mr William"	3rd Class Passenger	Southampton	Farmer	7.25	26	Male	False	
"DEVANEY, Miss Margaret Delia"	3rd Class Passenger	Queenstown		7.879166667	19	Female	True	
"DIKA, Mr Mirko"	3rd Class Passenger	Southampton		7.895833333	17	Male	False	
"DIMIC, Mr Jovan"	3rd Class Passenger	Southampton		8.6625	42	Male	False	
"DINTCHEFF, Mr Valtcho"	3rd Class Passenger	Southampton		7.895833333	43	Male	False	
"DONOHOE, Miss Bridget"	3rd Class Passenger	Queenstown		7.75	21	Female	False	
"DOOLY, Mr Patrick"	3rd Class Passenger	Queenstown	General Labourer	7.75	38	Male	False	
"DORKING, Mr Edward Arthur"	3rd Class Passenger	Southampton	Groom	8.05	18	Male	True	
"DOUGHERTY, Mr William John"	3rd Class Passenger	Queenstown		8.458333333	22	Male	False	
"DOWDELL, Miss Elizabeth"	3rd Class Passenger	Southampton	Housekeeper	12.475	31	Female	True	
"DOYLE, Miss Elizabeth"	3rd Class Passenger	Queenstown		7.75	28	Female	False	
"DRAZENOVIC, Mr Jozef"	3rd Class Passenger	Cherbourg	General Labourer	7.895833333	33	Male	False	
"DRISCOLL, Miss Bridget"	3rd Class Passenger	Queenstown		7.75	27	Female	True	
"DROPKIN, Miss Jennie"	3rd Class Passenger	Southampton	Box Maker	8.05	24	Female	True	
"DUQUEMIN, Mr Joseph Pierre"	3rd Class Passenger	Southampton	Mason	7.55	24	Male	True	
"DWAN, Mr Frank"	3rd Class Passenger	Queenstown	Farm Labourer	7.75	65	Male	False	
"DYKER, Mr Adolf Fredrik"	3rd Class Passenger	Southampton	General Labourer	13.9	23	Male	False	
"DYKER, Mrs Anna Elisabeth Judith"	3rd Class Passenger	Southampton		13.9	22	Female	True	
"EDVARDSSON, Mr Gustaf Hjalmar"	3rd Class Passenger	Southampton	General Labourer	7.775	18	Male	False	
"EKLUND, Mr Hans Linus"	3rd Class Passenger	Southampton	General Labourer	7.775	16	Male	False	
"EKSTR�M, Mr Amandus"	3rd Class Passenger	Southampton	General Labourer	6.975	45	Male	False	
"ELIAS, Mr Dibo"	3rd Class Passenger	Cherbourg	General Labourer	7.225	29	Male	False	
"ELIAS, Mr Joseph jr."	3rd Class Passenger	Cherbourg	General Labourer	7.229166667	15	Male	False	
"ELIAS NASRALLAH, Mr Tannous"	3rd Class Passenger	Cherbourg	General Labourer	7.229166667	22	Male	False	
"ELSBURY, Mr William James"	3rd Class Passenger	Southampton	Farmer	7.25	48	Male	False	
"EMANUEL, Miss Virginia Ethel"	3rd Class Passenger	Southampton		12.475	5	Female	True	
"ESTANISLAU, Mr Manuel Gon�alves"	3rd Class Passenger	Southampton	General Labourer	7.05	37	Male	False	
"EVERETT, Mr Thomas James"	3rd Class Passenger	Southampton	Crane Operator	15.1	38	Male	False	
"FARDON, Mr Charles Richard"	3rd Class Passenger	Southampton	Carpenter / Joiner	7.25	45	Male	False	
"FARRELL, Mr James"	3rd Class Passenger	Queenstown	Farm Labourer	7.75	25	Male	False	
"FINOLI, Mr Luigi"	3rd Class Passenger	Southampton		7.05	34	Male	True	
"FISCHER, Mr Eberhard Thelander"	3rd Class Passenger	Southampton		7.795833333	18	Male	False	
"FLEMING, Miss Honor"	3rd Class Passenger	Queenstown		7.75	22	Female	False	
"FLYNN, Mr James"	3rd Class Passenger	Queenstown	General Labourer	7.75	28	Male	False	
"FLYNN, Mr John"	3rd Class Passenger	Queenstown	Farm Labourer	6.95	42	Male	False	
